r,phi[0],phi[1],
0,8.54355,15.4254,
0.314623,8.53379,15.3953,
0.629245,8.50463,15.3052,
0.943868,8.45648,15.1566,
1.25849,8.39001,14.9518,
1.57311,8.30611,14.6941,
1.88774,8.2059,14.3873,
2.20236,8.09064,14.0359,
2.51698,7.96177,13.6449,
2.8316,7.8208,13.2194,
3.14623,7.66931,12.765,
3.46085,7.5089,12.2872,
3.77547,7.34118,11.7914,
4.09009,7.16771,11.2828,
4.40472,6.99,10.7665,
4.71934,6.80947,10.2469,
5.03396,6.62745,9.72845,
5.34858,6.44517,9.21482,
5.66321,6.26374,8.70937,
5.97783,6.08413,8.21497,
6.29245,5.90724,7.73403,
6.60707,5.73382,7.26854,
6.9217,5.56451,6.82008,
7.23632,5.39985,6.38981,
7.55094,5.24028,5.9786,
7.86557,5.08616,5.58696,
8.18019,4.93773,5.21516,
8.49481,4.7952,4.86323,
8.80943,4.65867,4.53098,
9.12406,4.52821,4.21806,
9.43868,4.40383,3.92401,
9.7533,4.28547,3.64822,
10.0679,4.17306,3.39003,
10.3825,4.06649,3.1487,
10.6972,3.96562,2.92345,
11.0118,3.87028,2.71348,
11.3264,3.7803,2.51797,
11.641,3.69549,2.33612,
11.9557,3.61564,2.16711,
12.2703,3.54054,2.01016,
12.5849,3.46998,1.86451,
12.8995,3.40375,1.72941,
13.2141,3.34163,1.60416,
13.5288,3.28342,1.48809,
13.8434,3.2289,1.38055,
14.158,3.17787,1.28095,
14.4726,3.13014,1.18871,
14.7873,3.08552,1.10331,
15.1019,3.04382,1.02423,
15.4165,3.00487,0.951017,
15.7311,2.96849,0.883229,
16.0458,2.93454,0.820462,
16.3604,2.90286,0.762339,
16.675,2.87331,0.708509,
16.9896,2.84574,0.658648,
17.3042,2.82003,0.612456,
17.6189,2.79605,0.569654,
17.9335,2.7737,0.529985,
18.2481,2.75287,0.493212,
18.5627,2.73344,0.459116,
18.8774,2.71533,0.427493,
19.192,2.69846,0.398156,
19.5066,2.68273,0.370934,
19.8212,2.66806,0.345666,
20.1358,2.65439,0.322207,
20.4505,2.64165,0.300419,
20.7651,2.62977,0.28018,
21.0797,2.61869,0.261372,
21.3943,2.60836,0.243891,
21.709,2.59873,0.227637,
22.0236,2.58975,0.21252,
22.3382,2.58137,0.198457,
22.6528,2.57355,0.18537,
22.9675,2.56626,0.173189,
23.2821,2.55946,0.161847,
23.5967,2.55311,0.151283,
23.9113,2.54718,0.141442,
24.2259,2.54165,0.132271,
24.5406,2.53648,0.123723,
24.8552,2.53166,0.115753,
25.1698,2.52715,0.10832,
25.4844,2.52294,0.101386,
25.7991,2.51901,0.0949165,
26.1137,2.51533,0.0888779,
26.4283,2.5119,0.0832405,
26.7429,2.50869,0.0779764,
27.0575,2.50569,0.0730596,
27.3722,2.50288,0.0684661,
27.6868,2.50025,0.0641737,
28.0014,2.4978,0.0601616,
28.316,2.4955,0.0564108,
28.6307,2.49335,0.0529035,
28.9453,2.49134,0.049623,
29.2599,2.48945,0.0465542,
29.5745,2.48769,0.0436826,
29.8891,2.48604,0.0409952,
30.2038,2.48449,0.0384794,
30.5184,2.48304,0.036124,
30.833,2.48168,0.0339182,
31.1476,2.48041,0.0318522,
31.4623,2.47922,0.0299167,
31.7769,2.4781,0.0281031,
32.0915,2.47705,0.0264034,
32.4061,2.47607,0.0248103,
32.7208,2.47515,0.0233166,
33.0354,2.47429,0.0219161,
33.35,2.47348,0.0206026,
33.6646,2.47271,0.0193705,
33.9792,2.472,0.0182146,
34.2939,2.47133,0.01713,
34.6085,2.4707,0.0161121,
34.9231,2.47011,0.0151567,
35.2377,2.46956,0.0142598,
35.5524,2.46904,0.0134177,
35.867,2.46855,0.0126269,
36.1816,2.46809,0.0118842,
36.4962,2.46766,0.0111865,
36.8108,2.46725,0.010531,
37.1255,2.46687,0.00991516,
37.4401,2.46651,0.00933639,
37.7547,2.46618,0.00879242,
38.0693,2.46586,0.00828109,
38.384,2.46556,0.00780036,
38.6986,2.46528,0.00734834,
39.0132,2.46502,0.00692327,
39.3278,2.46477,0.00652349,
39.6424,2.46454,0.00614744,
39.9571,2.46432,0.00579366,
40.2717,2.46411,0.0054608,
40.5863,2.46392,0.00514758,
40.9009,2.46374,0.0048528,
41.2156,2.46357,0.00457534,
41.5302,2.4634,0.00431416,
41.8448,2.46325,0.00406826,
42.1594,2.46311,0.00383672,
42.4741,2.46297,0.00361869,
42.7887,2.46285,0.00341333,
43.1033,2.46273,0.00321991,
43.4179,2.46261,0.00303769,
43.7325,2.46251,0.00286601,
44.0472,2.46241,0.00270423,
44.3618,2.46231,0.00255177,
44.6764,2.46222,0.00240808,
44.991,2.46214,0.00227263,
45.3057,2.46206,0.00214492,
45.6203,2.46199,0.00202451,
45.9349,2.46192,0.00191096,
46.2495,2.46185,0.00180387,
46.5641,2.46179,0.00170284,
46.8788,2.46173,0.00160753,
47.1934,2.46167,0.0015176,
47.508,2.46162,0.00143273,
47.8226,2.46157,0.00135262,
48.1373,2.46152,0.00127699,
48.4519,2.46148,0.00120558,
48.7665,2.46144,0.00113814,
49.0811,2.4614,0.00107444,
49.3957,2.46136,0.00101426,
49.7104,2.46132,0.000957389,
50.025,2.46129,0.000903633,
50.3396,2.46126,0.000852811,
50.6542,2.46123,0.000804748,
50.9689,2.4612,0.000759283,
51.2835,2.46117,0.000716263,
51.5981,2.46115,0.000675543,
51.9127,2.46113,0.000636987,
52.2274,2.4611,0.000600466,
52.542,2.46108,0.000565859,
52.8566,2.46106,0.000533053,
53.1712,2.46104,0.000501938,
53.4858,2.46102,0.000472415,
53.8005,2.46101,0.000444385,
54.1151,2.46099,0.00041776,
54.4297,2.46097,0.000392452,
54.7443,2.46096,0.000368381,
55.059,2.46095,0.00034547,
55.3736,2.46093,0.000323646,
55.6882,2.46092,0.000302841,
56.0028,2.46091,0.000282989,
56.3174,2.46089,0.00026403,
56.6321,2.46088,0.000245904,
56.9467,2.46087,0.000228555,
57.2613,2.46086,0.000211932,
57.5759,2.46085,0.000195985,
57.8906,2.46084,0.000180664,
58.2052,2.46083,0.000165926,
58.5198,2.46083,0.000151727,
58.8344,2.46082,0.000138026,
59.1491,2.46081,0.000124784,
59.4637,2.4608,0.000111963,
59.7783,2.46079,9.95283e-05,
60.0929,2.46079,8.74453e-05,
60.4075,2.46078,7.56821e-05,
60.7222,2.46077,6.4208e-05,
61.0368,2.46076,5.29945e-05,
61.3514,2.46076,4.20148e-05,
61.666,2.46075,3.12448e-05,
61.9807,2.46074,2.06631e-05,
62.2953,2.46074,1.02523e-05,
62.6099,2.46073,0,
